wavelength,absolute_irradiance,arena,light_environment
283.204,-0.01,horizontal,bright
283.662,-0.02,horizontal,bright
284.12,0.02,horizontal,bright
284.579,-0.01,horizontal,bright
285.037,0.01,horizontal,bright
285.495,0.02,horizontal,bright
285.953,0.03,horizontal,bright
286.411,0,horizontal,bright
286.869,0.01,horizontal,bright
287.327,0.01,horizontal,bright
287.784,0.01,horizontal,bright
288.242,0,horizontal,bright
288.7,0.01,horizontal,bright
289.157,0.01,horizontal,bright
289.615,0,horizontal,bright
290.073,0.02,horizontal,bright
290.53,0.01,horizontal,bright
290.988,-0.01,horizontal,bright
291.445,0.03,horizontal,bright
291.902,0.04,horizontal,bright
292.36,0,horizontal,bright
292.817,0.01,horizontal,bright
293.274,0.01,horizontal,bright
293.731,0.03,horizontal,bright
294.188,0,horizontal,bright
294.645,0,horizontal,bright
295.102,0.03,horizontal,bright
295.559,0.04,horizontal,bright
296.016,0.02,horizontal,bright
296.473,-0.01,horizontal,bright
296.929,0.02,horizontal,bright
297.386,0.02,horizontal,bright
297.843,0,horizontal,bright
298.299,0.02,horizontal,bright
298.756,0,horizontal,bright
299.212,0.01,horizontal,bright
299.669,0,horizontal,bright
300.125,0.02,horizontal,bright
300.581,0.01,horizontal,bright
301.038,0.02,horizontal,bright
301.494,0,horizontal,bright
301.95,0.03,horizontal,bright
302.406,-0.01,horizontal,bright
302.862,0.04,horizontal,bright
303.318,0.01,horizontal,bright
303.774,0,horizontal,bright
304.23,0,horizontal,bright
304.686,0.03,horizontal,bright
305.142,0.02,horizontal,bright
305.597,0,horizontal,bright
306.053,0.02,horizontal,bright
306.509,0.03,horizontal,bright
306.964,0.01,horizontal,bright
307.42,0,horizontal,bright
307.875,0.03,horizontal,bright
308.331,0.02,horizontal,bright
308.786,0.02,horizontal,bright
309.241,0.02,horizontal,bright
309.697,-0.01,horizontal,bright
310.152,0.02,horizontal,bright
310.607,0.01,horizontal,bright
311.062,0.01,horizontal,bright
311.517,0,horizontal,bright
311.972,0.02,horizontal,bright
312.427,0,horizontal,bright
312.882,0,horizontal,bright
313.337,0.02,horizontal,bright
313.791,0.02,horizontal,bright
314.246,0.01,horizontal,bright
314.701,0.01,horizontal,bright
315.155,0.04,horizontal,bright
315.61,0.01,horizontal,bright
316.065,0.01,horizontal,bright
316.519,0,horizontal,bright
316.973,0.01,horizontal,bright
317.428,0.01,horizontal,bright
317.882,0,horizontal,bright
318.336,0.02,horizontal,bright
318.79,0.01,horizontal,bright
319.245,0.01,horizontal,bright
319.699,0.01,horizontal,bright
320.153,0.01,horizontal,bright
320.607,0.02,horizontal,bright
321.061,0,horizontal,bright
321.514,0.02,horizontal,bright
321.968,0.02,horizontal,bright
322.422,0.01,horizontal,bright
322.876,0.02,horizontal,bright
323.329,0.01,horizontal,bright
323.783,0,horizontal,bright
324.236,0,horizontal,bright
324.69,0.02,horizontal,bright
325.143,0.01,horizontal,bright
325.597,0.02,horizontal,bright
326.05,0,horizontal,bright
326.503,0,horizontal,bright
326.957,0,horizontal,bright
327.41,0,horizontal,bright
327.863,-0.01,horizontal,bright
328.316,0.01,horizontal,bright
328.769,0.02,horizontal,bright
329.222,0.01,horizontal,bright
329.675,0,horizontal,bright
330.128,0.02,horizontal,bright
330.58,0,horizontal,bright
331.033,0.01,horizontal,bright
331.486,0.01,horizontal,bright
331.938,0,horizontal,bright
332.391,0.01,horizontal,bright
332.844,0,horizontal,bright
333.296,0,horizontal,bright
333.748,0,horizontal,bright
334.201,0,horizontal,bright
334.653,0.01,horizontal,bright
335.105,0,horizontal,bright
335.558,0,horizontal,bright
336.01,0.02,horizontal,bright
336.462,0.01,horizontal,bright
336.914,0.01,horizontal,bright
337.366,0.01,horizontal,bright
337.818,0,horizontal,bright
338.27,0.01,horizontal,bright
338.721,0.01,horizontal,bright
339.173,0.01,horizontal,bright
339.625,0.01,horizontal,bright
340.077,-0.01,horizontal,bright
340.528,0.01,horizontal,bright
340.98,0,horizontal,bright
341.431,0,horizontal,bright
341.883,0.01,horizontal,bright
342.334,0.01,horizontal,bright
342.785,0.02,horizontal,bright
343.237,0.01,horizontal,bright
343.688,0,horizontal,bright
344.139,0.01,horizontal,bright
344.59,0.02,horizontal,bright
345.041,0,horizontal,bright
345.492,0,horizontal,bright
345.943,0,horizontal,bright
346.394,0.02,horizontal,bright
346.845,-0.01,horizontal,bright
347.296,-0.01,horizontal,bright
